make,model,version,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,make_number,model_number,model_numberdos,make_model_ref,combustible_int,provincia_numero,cambio_int,prof_int,color_limpio,color_numero,km_0,km_0_int
AUDI,Q5,AUDI Q5 2.0 TDI 140kW 190CV quattro S tronic 5p.,29095,Diésel,2017.0,127950,190.0,5,Automático,Blanco,54,True,Alicante,49,700,22,4922,0,2,1,1,Blanco,282,False,0
MAZDA,CX-30,MAZDA CX30 SKYACTIVX 2.0 132 kW Evolution 5p.,27200,Gasolina,2020.0,1104,180.0,5,Manual,Gris / Plata,14,True,Navarra,36,704,14,3614,1,33,0,1,Gris / Plata,412,True,1
MERCEDES-BENZ,Clase GLE,MERCEDES-BENZ Clase GLE GLE 250 d 4MATIC 5p.,27500,Diésel,2016.0,139900,204.0,5,Automático,Negro,39,True,Guadalajara,56,804,37,5637,0,19,1,1,Negro,526,False,0
MERCEDES-BENZ,Clase GLC,MERCEDES-BENZ Clase GLC GLC 220 d 4MATIC 5p.,49000,Diésel,2019.0,14740,194.0,5,Automático,Gris / Plata (992 Gris selenita metalizado),13,True,Madrid,56,795,35,5635,0,29,1,1,Gris / Plata,412,False,0
AUDI,A7,AUDI A7 Sportback 3.0 TDI 272 quat S tron S line 5p.,35500,Diésel,2015.0,77900,272.0,5,Automático,Gris / Plata,23,False,Madrid,49,750,30,4930,0,29,1,0,Gris / Plata,412,False,0
CITROEN,C5 Aircross,CITROEN C5 Aircross BlueHdi 132kW 180CV SS EAT8 Shine 5p.,27000,Diésel,2019.0,33200,177.0,5,Automático,Blanco,33,True,Pontevedra,20,692,38,2038,0,36,1,1,Blanco,282,False,0
MERCEDES-BENZ,GLC Coupé,MERCEDES-BENZ GLC Coupe GLC 220 d 4MATIC 5p.,42500,Diésel,2018.0,47000,170.0,5,Automático,Blanco,34,True,Madrid,56,822,40,5640,0,29,1,1,Blanco,282,False,0
AUDI,A3,AUDI A3 2.0 TFSI 140kW quattro S tronic Sedan 4p.,26490,Gasolina,2017.0,39500,190.0,4,Automático,Blanco,14,True,Granada,49,542,10,4910,1,18,1,1,Blanco,282,False,0
AUDI,Q5,AUDI Q5 Competition 55 TFSI E quattro S tronic 5p.,55900,Híbrido enchufable,2020.0,8500,367.0,5,Automático,Blanco,9,True,La Rioja,49,700,22,4922,5,24,1,1,Blanco,282,True,1
BMW,Serie 4,BMW Serie 4 418d Gran Coupe 5p.,21990,Diésel,2015.0,95000,150.0,5,Automático,Gris / Plata,22,True,Málaga,50,731,14,5014,0,32,1,1,Gris / Plata,412,False,0
MERCEDES-BENZ,Clase S,MERCEDES-BENZ Clase S S 500 4MATIC 4p.,25699,Gasolina,2008.0,168000,388.0,4,Automático,Negro,28,True,Madrid,56,749,31,5631,1,29,1,1,Negro,526,False,0
MINI,MINI,MINI MINI JOHN COOPER WORKS GP 3p.,45900,Gasolina,2020.0,3500,306.0,3,Automático,Gris / Plata,11,True,Barcelona,41,463,1,4101,1,7,1,1,Gris / Plata,412,True,1
HONDA,Jazz,HONDA Jazz 1.5 iMMD EXECUTIVE 5p.,23500,Gasolina,2020.0,2500,109.0,5,Automático,Blanco (PREMIUM WHITE),26,True,Barcelona,30,575,12,3012,1,7,1,1,Blanco,282,True,1
